Flock|flock|
Firefox 1.0|Firefox/1.0|
Firefox 1.5|Firefox/1.5|
Firefox 2|Firefox/2|
Firefox 3|Firefox/3|
Firefox 3|GranParadiso|
Firefox prerelease|Phoenix|
Firefox|Firebird|
Firefox 2|BonEcho|
Firefox|Firefox|
Chrome|Chrome|
Thunderbird|Thunderbird|
Maxthon|Maxthon|
TheWorld|TheWorld|
MyIE|MyIE2|
Poco|Poco|
w3m|w3m|
Crazy Browser|CrazyBrowser|
GreenBrowser|GreenBrowser|
Avant Browser|AvantBrowser|
TencentTraveler|TencentTraveler|
OffByOne|OffByOne|
TotalNotes Browser|TotalNotes_Browser|
Pocket Internet Explorer|MicrosoftPocketInternetExplorer|
Pocket Internet Explorer|MSPIE|
MAUI WAP Browser|MAUIWAPBrowser|
Opera Mini|OperaMini|
Opera|Opera|
Safari|Safari|
Safari|AppleSyndication|
Camino|Camino|
Netscape|Netscape|
Konqueror|Konqueror|
Lynx|Lynx|
AmigaVoyager|AmigaVoyager|
Vienna|Vienna|
Ensemble2|Ensemble2|
Iceweasel|Iceweasel|
SeaMonkey|SeaMonkey|
Links|Links|
RssReader|rssreader.com|
Radianrss|radianrss|
NewsCopier|NewsCopier|
Epiphany|Epiphany|
K-MeleonCCFME|K-MeleonCCFME|
K-Meleon|K-Meleon|
iCab|iCab|
Mozilla Minefield|Minefield|
Galeon|Galeon|
Swiftweasel|Swiftweasel|
Generic Gecko|Gecko/|
Apple Generic|CFNetwork|
UCWEB|UCWEB|
J2ME|UNTRUSTED/1.0|
J2ME|MIDP|
Internet Explorer 8|Trident/4.0|
Internet Explorer 5|MSIE5.|
Internet Explorer 6|MSIE6.|
Internet Explorer 7|MSIE7.|
Internet Explorer 8|MSIE8.|
Internet Explorer|MSIE|
